Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED,significant_without_fdr_ARI,significant_without_fdr_SCARED
Dwell_a_d_BG,0.3119051234764193,0.032818595616347306,0.13709594801714353,False,0.3633505378431351,0.01206003554771752,0.06432018958782677,True,True,True
Dwell_a_d_EY,-0.3381966555483764,0.02006650866262266,0.13709594801714353,False,-0.3687230291296449,0.010762059140753993,0.06432018958782677,True,True,True
Dwell_a_a_BG,0.3676605508948665,0.011008778142087491,0.13709594801714353,False,0.3654251660446809,0.011543749801145762,0.06432018958782677,True,True,True
Dwell_a_a_EY,-0.30948028325506555,0.03427398700428588,0.13709594801714353,False,-0.4061297277400229,0.004618363653957591,0.0492625456422143,True,True,True
Dwell_c_d_BG,0.2860214129747351,0.05129622299341725,0.18238657064326133,False,0.33403918888546236,0.02174780720430731,0.08873976575450232,True,True,True
Dwell_c_d_EY,-0.1744588380644312,0.24085843612621802,0.4533805856493516,False,-0.2775555653254805,0.05890711374552543,0.13265240736322756,False,False,True
Dwell_c_d_MO,0.11649891703421125,0.4354905248895918,0.7279224483460425,False,0.24750592610848338,0.09347716792545376,0.16283591288352414,False,False,True
Dwell_c_a_BG,0.3247244323250401,0.02594825981036348,0.13709594801714353,False,0.23634348031094,0.10972951846184231,0.16283591288352414,False,True,False
Dwell_c_a_EY,-0.19932105673068,0.17920611075575654,0.38230636961228065,False,-0.3195529504305469,0.028559337406859994,0.09138987970195198,True,False,True
pctFirstFixa_aEY,-0.26853936425965436,0.06798226211357859,0.19776658069404682,False,-0.4274519351203163,0.0027281330751168353,0.0492625456422143,True,True,True
pctFirstFixa_aMO,0.2781637876045779,0.058331741062944024,0.18666157140142087,False,0.27455677299313513,0.06181082522302742,0.13265240736322756,False,True,True
pctFirstFixa_aBG,0.2369071272096222,0.10886031213480149,0.24882357059383198,False,0.3080140553742502,0.03517958189092122,0.1023406018644981,False,False,True
pctFirstFixc_aBG,0.32935657937904567,0.02378174861401653,0.13709594801714353,False,0.2665082827829975,0.07017247198695403,0.13265240736322756,False,True,True
pctFirstFixa_dEY,-0.2493692236215701,0.09095626277310111,0.24255003406160294,False,-0.32679973520452227,0.02495805911845378,0.08873976575450232,True,True,True
pctFirstFixa_dMO,0.09007695754713141,0.5470850674697948,0.7279224483460425,False,0.26623481350924044,0.07047159141171463,0.13265240736322756,False,False,True
pctFirstFixa_dBG,0.34132896676038416,0.01887338322479664,0.13709594801714353,False,0.4102737437543678,0.004180136098950056,0.0492625456422143,True,True,True
pctFirstFixc_dEY,-0.23751807454872814,0.10792411641146352,0.24882357059383198,False,-0.2703212130718845,0.0661058567299451,0.13265240736322756,False,False,True
pctFirstFixc_dMO,0.08636290042586593,0.5637967653762587,0.7279224483460425,False,0.29424580824566643,0.04468411665405172,0.11915764441080458,False,False,True
pctFirstFixc_dBG,0.38035830912584484,0.008356169664851872,0.13709594801714353,False,0.33120483735864614,0.02296067035748043,0.08873976575450232,True,True,True
meanRT-c_a,-0.04917082246226831,0.74274566825071,0.7823752834178409,False,-0.24326188182316752,0.09942102235167034,0.16283591288352414,False,False,True
