Type,Feature_1,Feature_2,r,p_fdr,significant
feature-ARI,Fix_a_d_BG,,0.287856547958753,0.08115245928178381,True
feature-ARI,Fix_a_a_BG,,0.30838029611294554,0.05527444651545954,True
feature-ARI,Fix_c_a_BG,,0.3180611979210051,0.045840133377394864,True
feature-ARI,Dwell_a_d_BG,,0.3208830621259981,0.04331004600907288,True
feature-ARI,Dwell_a_d_EY,,-0.35229604400659476,0.02218773562471135,True
feature-ARI,Dwell_a_a_BG,,0.3274792134882761,0.03786320892465923,True
feature-ARI,Dwell_a_a_EY,,-0.2930635203308591,0.0736699681351661,True
feature-ARI,Dwell_c_a_BG,,0.33013541275526703,0.036065399172334096,True
feature-ARI,pctFirstFixc_aBG,,0.38472310633835544,0.01029086555756951,True
feature-ARI,pctFirstFixa_dBG,,0.3125757529744433,0.05105980152294176,True
feature-ARI,pctFirstFixc_dBG,,0.362600398731179,0.017737420230970306,True
feature-ARI,ARI_6_P,,1.0,0.0,True
feature-ARI,SCARED_P,,0.4474535361402917,0.0014268712578451282,True
